userId,negative_samples
15,"[6972, 6615, 6514, 7046, 5554, 822, 3870, 1921, 4892, 3849, 1666, 8564, 4695, 5776, 7699, 7833, 7786, 7124, 8702, 8543, 1993, 6659, 3842, 671, 3451, 5819, 1407, 6034, 8217, 8726, 5240, 8898, 6443, 4918, 8719, 2635, 5032, 1953, 8767, 2739, 1050, 2983, 7954, 3561, 6396, 5954, 1889, 4725, 2924, 7874, 6018, 1668, 4279, 8134, 2063, 5319, 240, 5348, 2484, 3140, 6456, 3255, 3790, 8853, 3567, 2220, 7756, 8335, 6468, 1938, 5704, 2066, 3554, 6463, 2091, 6231, 6510, 3647, 8178, 7320, 2562, 5790, 4344, 2627, 7133, 6110, 6961, 8401, 2319, 7106, 5251, 6118, 4738, 4392, 8431, 6785, 7177, 6899, 7991]"
16,"[7197, 83, 6350, 1187, 1726, 6715, 7531, 3720, 4848, 6035, 4264, 5255, 2907, 2887, 6931, 3585, 8103, 2177, 1742, 5034, 3168, 3961, 6652, 2882, 5809, 8982, 4458, 8600, 7964, 2815, 8521, 4477, 3434, 4619, 4905, 2810, 2968, 1017, 8917, 6074, 729, 149, 8357, 9028, 7148, 1652, 9042, 8689, 1008, 8632, 7434, 3615, 3480, 4974, 2258, 1516, 5637, 8172, 1490, 1837, 3638, 4922, 5513, 8572, 8492, 2589, 8614, 8233, 6782, 5380, 5008, 4522, 8823, 4331, 6517, 5462, 4377, 3182, 7806, 222, 3142, 5192, 869, 4552, 8941, 7891, 1885, 6167, 7487, 8390, 7098, 2367, 7516, 7322, 1353, 5730, 7764, 4015, 2661]"
17,"[8511, 6906, 7997, 8721, 7163, 6117, 7640, 8543, 3589, 4446, 4303, 4179, 1452, 6273, 1466, 4039, 2946, 391, 6975, 3267, 4205, 999, 3202, 3160, 427, 3056, 4203, 4801, 5977, 5246, 7266, 2245, 4796, 2253, 1931, 4588, 1852, 8627, 8457, 2789, 361, 8209, 2492, 1005, 8192, 265, 7160, 7871, 8741, 62, 6641, 6339, 7954, 5537, 4927, 1672, 7202, 2541, 3553, 3616, 1722, 7330, 8439, 2246, 1777, 5825, 5808, 5263, 6264, 8149, 2586, 7965, 2371, 5693, 3402, 5161, 5500, 8786, 6833, 2084, 6460, 3825, 7265, 4218, 1063, 266, 379, 1540, 4647, 557, 3588, 7547, 3311, 5853, 4687, 6462, 8366, 3904, 2249]"
18,"[8909, 8326, 4091, 5565, 3699, 1510, 4187, 7133, 8041, 6021, 6092, 5777, 6715, 4638, 5471, 6304, 2703, 1396, 7281, 3034, 2498, 4114, 8786, 7890, 2764, 8351, 8057, 1594, 1011, 3087, 3807, 5576, 6551, 5382, 2641, 5432, 867, 5036, 8163, 2549, 6296, 1016, 2242, 5438, 7321, 4549, 1998, 5804, 8895, 3515, 8361, 2352, 4676, 4679, 292, 3077, 7896, 6482, 1024, 5061, 8418, 5552, 3391, 7418, 2746, 6912, 7094, 3927, 8308, 247, 6245, 8949, 4908, 1222, 3588, 3641, 7039, 2025, 3624, 4963, 894, 5466, 3579, 5686, 489, 4186, 5369, 5066, 7798, 8972, 8970, 820, 5323, 5098, 2598, 8116, 4446, 2468, 5335]"
19,"[175, 3693, 4903, 3200, 8803, 2273, 5051, 3277, 3135, 7542, 3837, 5960, 221, 6167, 8237, 8780, 7777, 748, 8593, 2639, 1945, 717, 950, 7605, 4406, 8468, 1540, 6004, 2348, 6758, 5850, 2797, 7289, 7235, 8122, 825, 7231, 1100, 3943, 2912, 4612, 3609, 8410, 1714, 7636, 2421, 5537, 3084, 8624, 3598, 1250, 7521, 405, 3847, 4019, 3864, 6877, 3734, 3489, 7562, 7788, 8789, 6120, 6352, 8344, 1531, 8874, 5933, 5622, 294, 1906, 8430, 8931, 3930, 2962, 2996, 7074, 2164, 3136, 2645, 2453, 8145, 6752, 6980, 4441, 5493, 4016, 398, 5316, 3295, 6128, 4498, 6326, 2530, 7371, 5038, 2146, 2844, 1364]"
20,"[5057, 4685, 3203, 2653, 6759, 4328, 4439, 6430, 1764, 8560, 7068, 625, 4121, 2971, 1244, 3077, 2717, 1050, 3479, 6411, 3242, 6355, 2495, 1120, 5975, 8288, 7213, 724, 7174, 8649, 8239, 7942, 8753, 4016, 5500, 4535, 5597, 2652, 4057, 1936, 6062, 2611, 8294, 1708, 5623, 8471, 19, 918, 2120, 7051, 2459, 4586, 2324, 3393, 3639, 4265, 5944, 6936, 3974, 40, 2762, 2105, 808, 7011, 8640, 2182, 5471, 2432, 8594, 3460, 8315, 5955, 6805, 3704, 682, 1935, 5481, 5346, 4652, 2703, 3265, 2941, 7348, 6622, 8015, 8816, 5461, 1720, 3019, 1031, 8868, 4316, 5231, 2530, 390, 4959, 5254, 7356, 3414]"
21,"[5909, 6180, 4522, 819, 3983, 2182, 2295, 6203, 3570, 2236, 974, 6561, 4554, 835, 2147, 6212, 7902, 6309, 4057, 2181, 1785, 7560, 1951, 3005, 5042, 9016, 8826, 7690, 1948, 5208, 6660, 4510, 2074, 2067, 8345, 431, 6067, 2560, 3537, 6050, 4394, 695, 3777, 6101, 6522, 1208, 2313, 6978, 6971, 81, 2796, 5153, 4835, 552, 1921, 1020, 8774, 6549, 4788, 7262, 7641, 8109, 2777, 3053, 3508, 5891, 7593, 3436, 7894, 800, 5922, 6097, 8076, 4900, 7764, 1583, 6010, 6029, 5992, 1806, 7315, 3354, 1370, 8126, 4822, 6018, 1582, 4800, 3864, 3585, 4281, 4084, 4540, 308, 4906, 7959, 9041, 8116, 2]"
22,"[2989, 7027, 1172, 8500, 3942, 5066, 4937, 644, 481, 5735, 4297, 7290, 322, 4526, 5983, 1880, 2755, 8646, 1931, 2772, 31, 4537, 8973, 3888, 1699, 6292, 5409, 5719, 5832, 7258, 2008, 1745, 1157, 9043, 5452, 4255, 3938, 1085, 4606, 4659, 7015, 2701, 4885, 3179, 1861, 3864, 5167, 3242, 550, 3009, 198, 5424, 2268, 1578, 5055, 4204, 4888, 5302, 7609, 3663, 2743, 4578, 6974, 8031, 754, 3717, 3444, 8521, 4027, 3960, 1533, 4656, 5551, 1009, 6785, 6579, 4317, 6355, 7289, 3443, 759, 7274, 8259, 8148, 442, 1195, 1279, 6430, 6869, 7527, 1939, 1840, 6738, 5144, 3105, 7949, 3156, 596, 6878]"
23,"[1732, 7756, 2681, 917, 8661, 2203, 5696, 1882, 6837, 5905, 5827, 3904, 1877, 8960, 3551, 1921, 8377, 75, 7657, 5728, 3998, 1807, 1640, 2183, 2866, 7760, 1829, 8979, 181, 8879, 9002, 3376, 3637, 1152, 8596, 8021, 8962, 5881, 3757, 2497, 311, 4601, 6642, 1718, 6048, 4517, 1197, 5026, 1895, 8774, 1225, 6768, 4563, 7767, 3399, 8925, 3208, 7154, 9012, 7984, 2249, 4544, 6728, 613, 5953, 3048, 2671, 7276, 5858, 695, 6290, 8130, 6670, 4661, 7488, 3579, 8191, 8655, 1611, 4376, 8112, 180, 8398, 5747, 8747, 850, 8204, 55, 4905, 5311, 5012, 1724, 5982, 8391, 7773, 7411, 7948, 4334, 2838]"
24,"[6288, 515, 2037, 1289, 1357, 6228, 4062, 6967, 4916, 2206, 9024, 1107, 3473, 7267, 6474, 863, 7056, 2249, 5935, 344, 4684, 6832, 2232, 7794, 1778, 6180, 6950, 713, 2627, 4639, 6275, 3426, 7350, 2778, 8519, 2129, 3483, 1948, 5095, 5348, 7090, 2335, 399, 7540, 321, 581, 3756, 1945, 4940, 4460, 1140, 6480, 5386, 1333, 8018, 6579, 2172, 3130, 2041, 5307, 1207, 8725, 2147, 8107, 2433, 4305, 3067, 6059, 4541, 6249, 5682, 1228, 8105, 4189, 4780, 1676, 4406, 392, 6132, 4965, 7667, 614, 7161, 2841, 3792, 8553, 4567, 4026, 6596, 7169, 278, 2049, 7231, 4858, 6846, 4977, 2283, 6595, 2833]"
25,"[4514, 5292, 4435, 7892, 4771, 8029, 625, 604, 7188, 768, 6115, 2755, 8324, 521, 8545, 7231, 5024, 2027, 1683, 2984, 3928, 7777, 4399, 2627, 3522, 8877, 5094, 944, 6218, 4053, 3727, 617, 6939, 4460, 2522, 1445, 293, 534, 8300, 2034, 5816, 2190, 1973, 3001, 490, 4850, 204, 1624, 373, 7232, 6851, 1694, 1292, 6661, 4157, 2582, 4642, 7530, 3344, 3914, 4335, 7706, 8013, 6613, 8622, 162, 4804, 8048, 2552, 2307, 7780, 328, 3217, 3501, 7189, 466, 6417, 6336, 4149, 1327, 7131, 8005, 5446, 1130, 5468, 7491, 8834, 3303, 5738, 8771, 5351, 4897, 2588, 1926, 2690, 7145, 733, 7927, 3480]"
26,"[1469, 8323, 980, 78, 8806, 4255, 1899, 2764, 3191, 8680, 334, 8688, 6519, 8126, 6391, 8633, 2527, 4153, 5667, 2943, 2011, 5757, 975, 275, 4512, 4883, 8392, 6068, 8488, 1418, 8371, 5564, 858, 6309, 963, 2984, 4784, 3386, 8302, 5728, 6246, 726, 182, 4046, 228, 7695, 1226, 6727, 8573, 1186, 7003, 296, 2788, 7070, 474, 7810, 4601, 8367, 4323, 6501, 7948, 3152, 61, 6876, 2679, 6861, 8010, 3922, 1574, 2814, 3027, 4952, 5944, 132, 2749, 4502, 2186, 8359, 3188, 2435, 2174, 5166, 4112, 4033, 1205, 2398, 3370, 496, 3348, 7857, 4960, 6508, 5648, 4696, 4101, 3549, 8769, 992, 1360]"
27,"[6354, 5144, 6877, 4824, 2262, 9042, 4264, 7221, 5817, 3961, 539, 8198, 6686, 2025, 3395, 5184, 1769, 5691, 1330, 5540, 8504, 7257, 5890, 8310, 637, 8302, 8638, 4120, 3874, 6436, 4183, 8619, 6672, 237, 8435, 6697, 1212, 1237, 5413, 7725, 5152, 2749, 7984, 1609, 3432, 8222, 2116, 4671, 440, 1577, 2339, 8678, 1199, 5053, 3486, 1209, 2315, 8810, 1700, 353, 8185, 6059, 7366, 2654, 6497, 7014, 8236, 2147, 2651, 5249, 5240, 1789, 4088, 7605, 1819, 5639, 5564, 5099, 5440, 2181, 4140, 963, 3290, 1655, 5827, 7812, 3753, 5537, 4636, 2990, 3274, 4076, 1489, 910, 22, 998, 8146, 3054, 3473]"
28,"[6006, 6263, 6410, 8269, 3065, 8580, 7304, 4457, 307, 557, 7279, 2872, 4812, 8422, 883, 7036, 5211, 755, 7930, 1089, 5434, 8146, 6552, 2061, 7922, 2381, 94, 4667, 4647, 2347, 8336, 1081, 5374, 6897, 5197, 1619, 3408, 8856, 371, 1073, 4595, 7764, 33, 2681, 7381, 7508, 5068, 3424, 3132, 1866, 5060, 2052, 638, 289, 5891, 8301, 8073, 6140, 2615, 8076, 6146, 5626, 8193, 3935, 3125, 8387, 786, 8376, 5370, 1501, 2707, 3061, 4776, 3178, 5755, 2696, 3639, 819, 6297, 2015, 50, 1379, 5052, 3153, 2187, 8128, 8971, 4409, 7427, 4806, 5970, 8853, 4814, 6880, 4719, 4799, 8949, 2499, 1375]"
29,"[8735, 1610, 606, 3636, 7582, 2346, 1980, 5818, 4813, 4066, 7960, 3987, 3432, 4626, 3476, 1899, 8860, 1351, 1168, 2958, 6663, 5181, 1745, 3989, 7030, 2970, 4584, 6540, 3560, 7232, 8242, 4860, 590, 8850, 1800, 8322, 233, 3794, 4267, 5460, 7749, 7844, 2035, 6955, 8193, 8250, 3103, 8319, 8122, 1049, 1711, 6076, 4528, 1392, 6139, 6242, 7832, 8855, 7351, 6044, 1894, 5305, 1770, 2426, 3523, 6365, 5744, 6297, 2005, 2458, 3505, 8663, 1762, 6546, 1709, 1390, 4322, 4745, 6983, 5261, 8487, 8116, 4373, 5537, 7817, 611, 4318, 3498, 5397, 7022, 2270, 607, 2030, 930, 5932, 7562, 6041, 383, 3410]"
30,"[4052, 3201, 3364, 5600, 971, 8085, 8036, 5400, 7173, 6116, 2388, 69, 7405, 351, 1368, 5255, 6730, 3539, 6397, 6298, 8360, 2953, 6029, 4709, 8066, 3766, 5790, 8605, 6339, 5568, 1686, 1702, 6011, 2762, 3691, 2117, 3791, 203, 3171, 6122, 5464, 458, 952, 6957, 4529, 4687, 810, 4128, 4611, 6783, 5533, 5264, 4452, 630, 6627, 575, 6728, 3220, 3445, 4538, 7479, 1894, 801, 2811, 2134, 6734, 8775, 2459, 751, 5602, 7649, 1853, 1831, 21, 8394, 8351, 5769, 3861, 2052, 8611, 4715, 1821, 2666, 414, 8102, 5222, 8379, 38, 3975, 2116, 5986, 8773, 2420, 6470, 8391, 3450, 7920, 2505, 2615]"
31,"[3716, 5574, 2715, 7647, 5789, 7871, 1189, 817, 1630, 3642, 3997, 5860, 2553, 839, 5560, 3089, 2124, 5465, 2908, 3189, 1627, 1186, 4089, 7798, 3802, 2845, 7736, 255, 4, 8485, 6822, 9044, 758, 1080, 5258, 827, 6157, 2554, 1226, 2812, 7338, 3552, 4655, 5126, 5041, 3045, 5085, 1313, 766, 4741, 140, 9046, 5606, 535, 8682, 8477, 2143, 2245, 5222, 8215, 1349, 4035, 2393, 3017, 511, 5156, 4242, 8838, 3851, 652, 78, 7805, 1277, 7685, 1377, 3550, 4475, 247, 1256, 633, 394, 7917, 5340, 6596, 4770, 2491, 3113, 4838, 1019, 5497, 698, 8603, 1759, 7409, 1207, 4989, 4337, 4184, 5677]"
32,"[3473, 5476, 7025, 5310, 1895, 8268, 6816, 8589, 1819, 4901, 8965, 3764, 7867, 8696, 6228, 5229, 7091, 4101, 7543, 5042, 3344, 811, 6820, 1594, 5655, 2406, 683, 9013, 6016, 8593, 2716, 1377, 149, 6881, 8771, 4402, 6980, 5016, 6280, 7998, 8129, 1864, 6770, 1343, 6270, 7832, 3993, 6046, 4871, 1207, 1324, 636, 3996, 3354, 399, 2454, 5014, 1530, 7065, 1356, 8134, 1088, 2082, 6795, 4329, 567, 4358, 8528, 6711, 1949, 834, 4569, 3207, 896, 2546, 741, 6977, 4996, 3275, 1813, 2863, 6631, 6669, 7812, 7340, 3193, 6367, 3091, 4005, 8370, 4243, 7004, 7901, 5151, 4971, 23, 5130, 1924, 7084]"
33,"[7149, 1605, 2463, 9025, 7678, 3285, 2570, 4467, 2862, 5828, 7209, 3099, 7282, 5042, 3988, 4179, 3662, 1858, 3510, 395, 2888, 3068, 381, 5979, 3458, 3313, 2724, 3040, 8249, 5365, 6756, 8816, 9056, 6457, 1597, 4416, 2420, 4502, 727, 660, 5837, 3876, 5977, 2481, 5238, 868, 714, 3990, 3274, 5763, 2752, 8029, 1288, 7579, 2283, 6720, 6199, 3259, 4429, 4610, 8607, 7627, 1676, 7192, 6626, 7028, 5888, 3303, 7092, 5523, 6341, 5927, 4395, 1032, 4589, 5929, 2501, 3835, 4267, 5207, 4501, 2047, 3910, 5858, 6666, 4974, 1868, 4696, 3466, 4924, 1235, 7119, 775, 753, 5225, 3094, 1766, 8391, 8735]"
34,"[5699, 3426, 4765, 4029, 2559, 3544, 8743, 7710, 6197, 4587, 2320, 8975, 5589, 2480, 361, 6817, 3925, 6717, 7056, 3957, 2036, 4850, 867, 6874, 7822, 8180, 7844, 6500, 2502, 7475, 3046, 4008, 5129, 381, 4601, 2189, 4774, 863, 3226, 8589, 2390, 5468, 3898, 5211, 956, 272, 395, 647, 2468, 6342, 6422, 3030, 502, 6036, 9043, 1654, 3781, 7417, 8795, 1984, 1696, 5245, 2012, 2713, 3806, 1934, 723, 2413, 1408, 5550, 2578, 2514, 2547, 1444, 2404, 5829, 6216, 1547, 4441, 1025, 5307, 633, 2520, 7586, 7762, 1445, 3500, 2448, 6398, 5488, 2237, 6157, 1660, 10, 3155, 8217, 3138, 1908, 8188]"
